,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
785,124086-185,                1470000                 ,4,160,0,Karatay,Sarıyakup
786,125962-101,                850000                 ,2,65,0,Karatay,Akabe
787,80269-851,                6750000                 ,12,375,17,Selçuklu,Buhara
788,119637-303,                2600000                 ,4,170,0,Selçuklu,MehmetAkif
789,0-40399800,                1280000                 ,3,120,5,Karatay,Karakulak
790,0-40384193,                1750000                 ,4,165,4,Selçuklu,Yazır
791,0-40362240,                3050000                 ,5,210,9,Selçuklu,Sancak
792,0-40358164,                3245000                 ,4,165,3,Selçuklu,Selçuk
793,130990-94,                1800000                 ,4,168,0,Akşehir,Gazi
794,0-40351733,                4750000                 ,5,220,5,Selçuklu,Şeker
795,130018-8,                4750000                 ,6,235,4,Meram,Alavardı
796,0-40343966,                1370000                 ,3,115,25,Selçuklu,Dumlupınar
797,0-40341555,                3500000                 ,4,155,0,Meram,Hatıp
798,0-40339504,                2000000                 ,5,300,15,Ereğli,Gülbahçe
799,0-40332160,                13500000                 ,12,720,10,Selçuklu,Erenköy
800,0-40328117,                1575000                 ,4,135,8,Selçuklu,Hanaybaşı
801,134357-15,                1950000                 ,4,170,4,Karatay,Fetih
802,0-40321723,                1680000                 ,4,155,14,Selçuklu,Buhara
803,0-40320973,                1050000                 ,2,80,7,Selçuklu,Kosova
804,0-40311731,                2490000                 ,4,160,5,Meram,Alavardı
805,0-40310818,                1390000                 ,4,145,15,Selçuklu,Parsana
806,131537-31,                9000000                 ,5,230,0,Meram,Kovanağzı
807,0-40309442,                2250                 ,4,150,0,Ereğli,Üçgöz
808,0-40303988,                800000                 ,3,112,3,Meram,Gödene
809,0-40264828,                1450000                 ,4,150,26,Selçuklu,MusallaBağları
810,0-40260291,                2350000                 ,5,285,30,Meram,Konevi
811,129831-69,                3250000                 ,4,173,0,Selçuklu,Parsana
812,40443-609,                1980000                 ,5,195,19,Selçuklu,Işıklar
813,0-40241099,                2750000                 ,4,165,4,Selçuklu,Yazır
814,131193-91,                9000000                 ,7,270,11,Meram,Durunday
815,133554-4,                7500000                 ,6,268,0,Meram,Karahüyük
816,92473-653,                1300000                 ,4,155,20,Selçuklu,Yazır
817,67219-803,                2500000                 ,4,150,0,Selçuklu,Beyhekim
818,134792-56,                2000000                 ,4,150,0,Meram,Uluırmak
819,134317-37,                1250000                 ,4,130,5,Karatay,Keçeciler
820,132269-25,                1000000                 ,4,110,30,Selçuklu,ŞeyhŞamil
821,122179-390,                4000000                 ,8,600,11,Meram,Karahüyük
822,128842-349,                1050000                 ,4,150,32,Karatay,SultanMesud
823,84875-710,                1700000                 ,4,160,0,Karatay,Karakulak
824,60020-413,                2250000                 ,4,160,1,Karatay,Keçeciler
825,0-40516129,                950000                 ,2,70,3,Karatay,Akabe
826,120987-196,                2950000                 ,4,165,0,Selçuklu,SelahaddinEyyubi
827,5115-3493,                1250000                 ,2,1.800,15,Meram,Kızılören
828,125652-449,                1400000                 ,3,120,4,Selçuklu,SelahaddinEyyubi
829,88418-68,                1850000                 ,4,150,0,Karatay,Yediler
830,130520-378,                950000                 ,3,135,31,Selçuklu,Ferhuniye
831,134423-190,                1350000                 ,4,180,8,Meram,Alpaslan
832,129467-192,                1350000                 ,4,155,0,Karatay,Karaaslandede
833,134611-20,                680000                 ,2,75,0,Ereğli,Toros
834,80849-236,                275000                 ,3,110,18,Akşehir,Yarenler
835,135343-115,                1450000                 ,4,160,5,Karatay,Hacıyusufmescit
836,107333-57,                1800000                 ,5,180,5,Selçuklu,Buhara
837,69350-1330,                1375000                 ,3,120,1,Karatay,KerimDede
838,122780-84,                2100000                 ,4,170,0,Selçuklu,SelahaddinEyyubi
839,99983-531,                1400000                 ,3,140,0,Selçuklu,Kosova
840,46557-1792,                2375000                 ,4,175,0,Meram,Karahüyük
841,112034-185,                2250000                 ,5,225,10,Selçuklu,Malazgirt
842,134113-62,                1550000                 ,4,160,25,Selçuklu,Işıklar
843,129070-124,                1450000                 ,4,160,0,Ereğli,Üçgöz
844,111292-57,                10250000                 ,5,320,0,Meram,Kozağaç
845,133637-36,                660000                 ,4,130,30,Meram,Sahibiata
846,121431-446,                1550000                 ,6,230,4,Karatay,Nakipoğlu
847,130547-278,                1660000                 ,3,130,3,Meram,Aymanas
848,133420-42,                1495000                 ,4,160,0,Karatay,Mengene
849,78639-3001,                1610000                 ,4,165,12,Ereğli,MehmetAkif
850,76578-2887,                3100000                 ,5,225,6,Selçuklu,Selçuk
851,34922-1426,                2250000                 ,4,138,0,Selçuklu,SelahaddinEyyubi
852,132907-154,                180000                 ,3,155,35,Meram,Hatunsaray
853,70173-916,                795000                 ,2,60,0,Ereğli,MehmetAkif
854,0-40286193,                1645000                 ,4,170,0,Karatay,Hasandedemescit
855,135209-93,                780000                 ,3,130,26,Ereğli,Pirömer
856,130946-80,                1600000                 ,4,145,13,Selçuklu,Beyhekim
857,97796-508,                1950000                 ,4,252,30,Selçuklu,Aydınlıkevler
